,0
CHOLK,10.30611124
CHOLPtl,
CHOLtn,
CHOLtr,
CHSTEROLt3,
CITRtm,0.0
CITtam,11.02135223
CK_cho,
CLHCO3tex2,9.919134
CLOXAtex2,9.919134
CLPNDCOAtx,
CLPNDCPT1,11.45543701
CLPNDt,
CMPACNAtn,
ACNMCT,10.86034857
CO2tg,
CO2tm,
COAtim,9.748859306
COKECBESr,11.95222158
COQ3m,0.0
COQ6m,0.0
COQ7m,9.501124718
CORE3GTg,
CORE6GTg,0.0
CORE7GTg,
CREATt4_2_r,12.68163311
CREATtmdiffir,
CRMPte,
CRNCAR3tp,
CRNCARtp,11.56916828
CRNt,9.703044133
CRNtHa,0.0
CRNtuNa,9.703044133
CRTNsyn_cho,
CRTSLt,
CRTSLtm,
CRTSLtr,
CRVNCtr,
CSAPASEly,
CSCPASEly,
CSEPASEly,
CSNAT2m,11.56916828
CSNAT2x,0.0
CSNAT3x,
CSNATm,11.56916828
CSNATp,
CSNATr,11.56916828
CSPG_Atly,
CSPG_Ct,
CSPG_Ctly,
CSPG_Dt,
CSPG_Dtly,
CTPtn,
CYANt,
CYANtm,
CYSALANaEx,10.60231059
CYSASNNaEx,10.04554607
CYSGLYex,12.37007518
CYSO,0.0
CYSSERNaEx,10.60231059
CYStec,
CYSTGLUex,0.0
CYTD,0.0
CYTDn,
CYTDt,11.4171518
CYTDtl,0.0
CYTK12,12.22107625
CYTK12n,12.22107625
CYTK13n,12.22107625
CYTK14,12.22107625
CYTK1m,
CYTK2n,12.22107625
CYTK3,
CYTK4,
CYTK5n,12.22107625
CPK1,12.22107625
CYTK6n,12.22107625
CYTK7,12.22107625
CYTK7n,12.22107625
CYTK8,12.22107625
CYTK8n,12.22107625
DADNK,
DAG_HSter,
DAGK_hs,12.35233853
DARGOp,
DASCBH,
DASPO1p,0.0
DATPtn,
DCK1m,
DCK1n,0.0
DLNLCGCPT2,0.0
DCSPTN1CPT1,11.45543701
DCSPTN1CRNt,9.919275019
DCSPTN1t,
DCTPtn,
DCYTD,0.0
DCYTDn,
DCYTt,0.0
DECDPtm,
DEDOLP2_L,
DESAT18_10,10.75131174
DESAT18_6,10.75131174
DESAT18_12,10.75131174
DESAT22_2p,
DESAT24_1,10.75131174
DGCHOLte,
DGSNt,0.0
DGSNtm,
DHCRD2,11.09554764
DHDPBMTm,0.0
DHEASt,10.29736037
DHEASULT,
DHEAtr,
DHFtl,
DHFtm,
DHORD9,0.0
DHPM1,12.67103835
DIGALSGALSIDEtg,
DIGALSIDEtl,
DITPtn,
D_LACt2,10.93117232
DLNLCGCPT1,11.45543701
DM_Asn_X_Ser_Thr_l,
DM_core5_g,
DM_dem2emgacpail_prot_hs_r,
DM_dgpi_prot_hs_r,
DM_dsT_antigen_g,
DM_kdn_c,
DM_melanin_c,
DM_n5m2masn_g,
DM_oretn_n,
DM_Ser_Thr_l,
DM_Ser_Gly_Ala_X_Gly_l,
DM_sprm_c,
DMANTIPYRINEte,
DMATTx,10.62969418
DMGDHm,
DMGtm,
DMHPTCRNCPT2,
DMHPTCRNte,
C110CPT2m,
DMNONCRNt,
DNADtn,
DNDPt10m,
DNDPt11m,
DNDPt13m,
DNDPt14m,
DNDPt15m,
DNDPt16m,
DNDPt17m,
DNDPt18m,
DNDPt1m,
DNDPt20m,
DNDPt21m,
DNDPt25m,
DNDPt28m,
DNDPt32m,
DNDPt37m,
DNDPt38m,
DNDPt39m,
DNDPt40m,
DNDPt42m,
DNDPt43m,
DNDPt45m,
DNDPt49m,
DNDPt50m,
DNDPt52m,
DNDPt55m,
DNDPt56m,
DNDPt57m,
DNDPt59m,
DNDPt5m,
DNDPt60m,
DNDPt61m,
DNDPt62m,
DNDPt63m,
DNDPt6m,
DOLGPP_Ler,
DOLICHOL_Lter,
DOLICHOL_Uter,
DOLK_U,
DOLPH_Uer,
DOLPMT_U,0.0
DOLP_Lter,
DOLP_Uter,
DOPAt4_2_r,
DOPAtu,9.703044133
DOPAVESSEC_1,0.0
DPCOAtl,
DPGase,9.561990309
DSAT,
DTDPtn,
DUDPtn,
DURAD,0.0
DURAD2,0.0
DURIK1,10.09237395
DURIt,0.0
DUTPDPm,11.02772206
EBASTINEOHtr,
EBASTINEte,
ECOAH12m,13.24696209
ECOAH9m,13.24696209
EICOSTETCPT1,11.45543701
ENGASE2ly,
ESTRADIOLGLCtr,
ESTRADIOLt,
ESTRIOLGLCte,10.81957497
ESTRIOLtr,
ESTRONEGLCt,0.0
ESTRONESt,10.55311399
ESTRONESt2,
ESTRONEtr,
ETF,11.64508022
ETFQO,10.56588791
ETHAK,11.1035121
EX_10fthf5glu_e,
EX_10fthf6glu_e,
EX_10fthf7glu_e,
EX_11_cis_retfa_e,
EX_13_cis_retnglc_e,
EX_24nph_e,
EX_25hvitd3_e,
EX_2hb_e,
EX_2mcit_e,
EX_34dhphe_e,
EX_35cgmp_e,
EX_4hphac_e,
EX_4mptnl_e,
EX_7dhf_e,
EX_7thf_e,
EX_9_cis_retfa_e,
EX_acetone_e,
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,
EX_acnacngal14acglcgalgluside_hs_e,
EX_adp_e,
EX_ahandrostanglc_e,
EX_ala_B_e,
EX_ala__D_e,
EX_aldstrn_e,
EX_andrstrn_e,
EX_andrstrnglc_e,
EX_antipyrene_e,
EX_appnn_e,
EX_arach_e,
EX_avite1_e,
EX_avite2_e,
EX_bhb_e,
EX_bildglcur_e,
EX_biocyt_e,
EX_bvite_e,
EX_caro_e,
EX_carveol_e,
EX_chol_e,
EX_cholate_e,
EX_chtn_e,
EX_clpnd_e,
EX_coumarin_e,
EX_creat_e,
EX_crmp_hs_e,
EX_crn_e,
EX_crtstrn_e,
EX_crvnc_e,
EX_cspg_c_e,
EX_cspg_e_e,
EX_cyan_e,
EX_dag_hs_e,
EX_dcsptn1_e,
EX_dhdascb_e,
EX_dheas_e,
EX_dhf_e,
EX_digalsgalside_hs_e,
EX_dlnlcg_e,
EX_dmantipyrine_e,
EX_dmhptcrn_e,
EX_dopa_e,
EX_eaflatoxin_e,
EX_ebastine_e,
EX_eicostet_e,
EX_estradiolglc_e,
EX_fucacngalacglcgalgluside_hs_e,
EX_fucfuc12gal14acglcgalgluside_hs_e,
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,
EX_fucfucgalacglcgalgluside_hs_e,
EX_fucgal14acglcgalgluside_hs_e,
EX_fucgalgbside_hs_e,
EX_fuc__L_e,
EX_galacglcgalgbside_hs_e,
EX_galfucgalacglcgal14acglcgalgluside_hs_e,
EX_gd1c_hs_e,
EX_gdp_e,
EX_gluala_e,
EX_glyc__S_e,
EX_gp1calpha_hs_e,
EX_gq1balpha_hs_e,
EX_gsn_e,
EX_gt1a_hs_e,
EX_gthox_e,
EX_ha_e,
EX_ha_pre1_e,
EX_hcoumarin_e,
EX_hdcea_e,
EX_hexc_e,
EX_hom__L_e,
EX_hspg_e,
EX_htaxol_e,
EX_i_e,
EX_imp_e,
EX_ksi_e,
EX_ksii_core4_e,
EX_lac__D_e,
EX_cysi__L_e,
EX_leuktrB4_e,
EX_leuktrC4_e,
EX_leuktrD4_e,
EX_leuktrE4_e,
EX_limnen_e,
EX_lipoate_e,
EX_lnlc_e,
EX_lnlnca_e,
EX_lpchol_hs_e,
EX_meoh_e,
EX_mercplaccys_e,
EX_mthgxl_e,
EX_nad_e,
EX_nadp_e,
EX_nifedipine_e,
EX_npthl_e,
EX_nrpphr_e,
EX_oagd3_hs_e,
EX_oagt3_hs_e,
EX_ocdca_e,
EX_ocdcea_e,
EX_octa_e,
EX_onpthl_e,
EX_oxa_e,
EX_paf_hs_e,
EX_pchol_hs_e,
EX_perillyl_e,
EX_pheacgln_e,
EX_phllqne_e,
EX_phyt_e,
EX_prostgd2_e,
EX_prostge2_e,
EX_prostgf2_e,
EX_ps_hs_e,
EX_retfa_e,
EX_retinol_e,
EX_Rtotal2_e,
EX_Rtotal3_e,
EX_s2l2n2m2masn_e,
EX_sarcs_e,
EX_spc_hs_e,
EX_sph1p_e,
EX_strdnc_e,
EX_tag_hs_e,
EX_taxol_e,
EX_tchola_e,
EX_tcynt_e,
EX_tdchola_e,
EX_tetpent3_e,
EX_tetpent6_e,
EX_thmmp_e,
EX_thym_e,
EX_triodthy_e,
EX_triodthysuf_e,
EX_tststeroneglc_e,
EX_tststerones_e,
EX_ttdca_e,
EX_tymsf_e,
EX_Tyr_ggn_e,
EX_udp_e,
EX_vitd3_e,
EX_whddca_e,
EX_whhdca_e,
EX_whttdca_e,
EX_xoltri25_e,
EX_xoltri27_e,
F1Atg,
FACOAL140,11.60715641
FACOAL160,13.02973104
FACOAL170,13.02973104
FACOAL181,13.02973104
FACOAL1821,13.02973104
FACOAL1822,13.02973104
FACOAL1831,13.02973104
FACOAL184,13.02973104
FACOAL203,13.02973104
FACOAL204,13.02973104
FACOAL2042,13.02973104
FACOAL205,13.02973104
FACOAL2251,13.02973104
FACOAL2252,13.02973104
FACOAL240_1,13.02973104
FACOAL241,13.02973104
FACOAL245_1,13.02973104
FACOAL40im,
FACOAL80,11.60715641
FADH2tru,
FADH2tx,
FADtru,
FADtx,
FAEL184,11.49322525
FAEL204,11.49322525
FAEL205,11.49322525
FAH1,
FAH2,
FALDH,11.75056003
FALDtly,
FALDtm,
FAOXC11,11.18940977
FAOXC16080m,11.18940977
FAOXC16080x,11.39618523
FAOXC180x,11.39618523
FAOXC1811601m,11.18940977
FAOXC1811603m,11.18940977
FAOXC182806m,11.18940977
FAOXC18280m,11.18940977
FAOXC183806m,11.18940977
FAOXC18480m,11.18940977
FAOXC200180x,11.39618523
FAOXC2031836m,11.18940977
FAOXC204,11.18940977
FAOXC2051843m,11.18940977
FAOXC2051843x,11.39618523
FAOXC2251836m,11.18940977
FAOXC2252053m,11.18940977
FAOXC2252053x,11.39618523
GCHOLAte,
FAOXC226205m,11.18940977
FAOXC2442246x,11.39618523
FAOXC2452253x,11.39618523
FAOXC2452256x,11.39618523
FAOXC246226x,11.39618523
FAOXC260240x_1,11.39618523
FAS160COA,13.24257768
FATP1t,9.865306947
FATP2t,
FATP3t,
FATP7t,0.0
FATP8t,0.0
FBA5,0.0
FDH,0.0
FE2t,
FE3R2e_1,12.24482415
FK,
FKYNH,
FORMCOAtx,
FORtm,
FORtr,
FPGS2,11.11065311
FPGS2m,11.11065311
FPGS3,11.11065311
FPGS4_1,11.11065311
FPGS4m_1,11.11065311
FPGS5,11.11065311
FPGS5m,11.11065311
FPGS6m,11.11065311
FPGS7m_1,11.11065311
FPGS8m,11.11065311
FPGS9,11.11065311
FPGSm_1,11.11065311
FRDPtc,
FRDPtr,
FRUt1r,9.800031951
FTHFDH,0.0
FTHFLmi,10.56259333
FUC14GALACGLCGALGLUSIDEte,
FUC14GALACGLCGALGLUSIDEtg,
FUCACGALFUCGALACGLCGALGLUSIDEte,
FUCACNGAL14ACGLCGALGLUSIDEte,
FUCACNGAL14ACGLCGALGLUSIDEtg,
FUCACNGALACGLCGALGLUSIDEte,
FUCASE2ly,10.11338914
FUCASEe,
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,
FUCGALFUCGALACGLCGALGLUSIDEtg,
FUCGALGBSIDEte,
FUCGALGBSIDEtg,
FUCtly,
FUMAC,9.554910792
FUMSO4tm,0.0
FUMtm,0.0
FUT15g,0.0
FUT16g,0.0
FUT32g,
FUT911g,
FUT91g,
FUT94g,
FUT96g,
FUT97g,
FUT99g,
G14T20g,12.2423209
G14T21g,12.2423209
G14T2g,12.2423209
G14T5g,12.2423209
G5SDym,10.51013416
G6PDH1er,12.26617884
G6PDH2er,12.26617884
G6PPer,10.71142049
GABAVESSEC_1,
GACMTRc,10.26967597
GACPAILter,
GALACGLCGALGBSIDEte,
GALACGLCGALGBSIDEtg,
GALASE10ly,12.1465237
GALASE12ly,12.1465237
GALASE13ly,12.1465237
GALASE15ly,12.1465237
GALASE16ly,12.1465237
GALASE17ly,12.1465237
GALASE19ly,12.1465237
GALASE1ly,12.1465237
GALASE20ly,12.1465237
GALASE4ly,12.1465237
GALASE7ly,12.1465237
GALASE8ly,12.1465237
GALASE9ly,12.1465237
GALFUC12GAL14ACGLCGALGLUSIDEtg,
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte,
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg,
GALGALGALTHCRMtg,
GALGT2,
GALGT3,
GALNACT1g,10.23405802
GALNACT2g,10.52614446
GALNACT3g,10.52614446
GALNACT4g,10.52614446
GALNACT5g,10.52614446
GALSIDEtg,
GALSIDEtl,
GALt1r,11.93074373
GALT2g,
GALtly,
GAO1g,10.02170287
GARFT,10.60956354
GASNASE2ly,0.0
GASNASEly,0.0
GBA,
GBGT1,
GBSIDEte,
GBSIDEtl,
GCCam,10.25494039
GCHOLAt2,
GD1B2te,
GD1Cte,
GDPFUCtg,9.813386616
GFUCS,
GGH_10FTHF7GLUl,0.0
GGH_5THFl,0.0
GGH_6DHFl,0.0
GGH_7THFe,0.0
GGLUCT,9.599705207
GHMT2rm,10.97973477
GLAl,0.0
GLB1,12.1465237
GLCAASE4ly,10.85840326
GLCAASE6ly,10.85840326
GLCAASE7ly,10.85840326
GLCAASE8ly,10.85840326
GLCAASE9ly,10.85840326
GLCAT4g,10.68757699
GLCAT5g,10.68757699
GLCAT6g,10.2846047
GLCAT7g,10.2846047
GLCAT8g,10.2846047
GLCNACASE5ly,10.17667899
GLCNACDASg,12.37082665
GLCNACT2g,11.42719384
GLCNACT5g,11.42719384
GLCter,
GLCtly,
GLGNS1,11.87592191
GLNALANaEx,10.04554607
GLNASNNaEx,10.04554607
GLNCYSNaEx,10.04554607
GLNtm,
GLPASE1,12.9192112
GLPASE2,12.9192112
GLRASE,
GLUt6,10.6737426
GLXO2p,
GLXtp,
GLYAMDTRc,10.33514973
GLYBt4_2_r,0.0
GLYCK2,
GLYCLTDym,
GLYCLTtp,
GLYC_St,
GLYOp,
GLYt4,13.04673093
GLYt7_211_r,0.0
GLYtm,
GLYVESSEC_1,
GMPtg,
GMPtn,
GNDer,12.08293579
GNMT,0.0
GP1CALPHAtg,
GPAM_hs_1,
GPIDA2er,9.478544613
GPIDAer,9.478544613
GQ1BALPHAte,
GQ1Btg,
GT1Ate,
GT1Atg,
DHAOX_c,
GTHOm,11.16281721
GTHPi,13.4096384
GTHPm,13.07347399
GTHS,10.56971056
GULLACter,
GULN3D,
GULNDer,
GULNter,
GUR1PP,
HCO3Em,0.0
H2O2syn,0.0
H2O2t,
H2O2tm,
H2Oter,
H2Otg,
H3MTer_U,0.0
H4ET3er,9.933488119
H4ETer,0.0
H6ET3er,9.933488119
H7ET2er,10.4858889
HACD1x,12.2005521
HACD9m,11.2327939
HAS1,
HAtly,
HBZOPT10m,0.0
HCO3_CLt,10.99307716
HCOUMARINte,
HDCAt,0.0
HDD2COAtx,
HESTRATRIOLte,
HESTRATRIOLtr,
HEX4,13.19261797
HEXCt,
HISDC,
HISt4,13.04673093
HISTAVESSEC_1,0.0
HMGCOASm,
HMGCOAtm,
HMGCOAtx,
HMGLm,10.39958272
HMGLx,10.39958272
HOMt4,10.80917179
HPACtr,
HPDCACRNCPT1,11.45543701
HPDCACRNCPT2,0.0
HPYRDCm,
HPYRR2x_1,14.08616184
HPYRtp,
HS2ly,10.49103118
HSAT2ly,
HSAT3ly,
HSD17B42x_1,12.2005521
HSD17B4x,12.2005521
HSD17B7r,
HSD17B8r,
HSD17B9r,
HSD3A1r,
HSD3B11,
HSD3B12r,
HSD3B13,
HSD3B3r,
HSD3B7P,
HSPASEly,
HSPGt,
HTAXOLte,
Htx,
HXANtx,
HYPTROX_cho,
ICDHyr,10.48992618
ICDHyp,10.48992618
IDHPOXOX2b,
IDHPOXOX3,
IDHPOXOX4,
IDHPOXOXb,
IDOAASE3ly,9.564264591
IDOAASE4ly,9.564264591
IDOURtly,9.886907869
IDPtn,
ILEt4,
ILEtmi,
ILETAm,10.35509442
INOSTO,
INSt,11.4171518
INSTt2,
INSTt4,
IPDPtx,
ITCOALm,10.84380336
ITPtn,
KAS8,13.24257768
KCC2t,11.36809293
KCCt,11.36809293
KHK,0.0
KHK2,0.0
KSII_CORE2tly,
KSII_CORE4t,
KSItly,
KYN3OX,
KYNATESYN,
LACZe,
LALDO,11.75056003
LAPCOAl,10.27453407
LCADi_D,11.6549622
LCTStg,
LCYSTAT,12.19446066
LCYSTCBOXL,10.29460421
LEUKTRA4tr,
LEUKTRB4t,
LEUKTRB4tr,
LEUKTRC4t,
LEUKTRD4t,
LEUKTRE4t,
LEUKTRF4t,
LEUTAm,10.35509442
TTCCOAtx,
LIMNENte,
LINKDEG1ly,
LINKDEG2ly,
LINKDEG3ly,
LIPOti_1,10.32059027
L_LACtcm,
LNLCCPT1,11.45543701
LNLCCPT2,0.0
LNLCCRNt,9.919275019
LNLCt,0.0
LNLNCAt,0.0
LNLNCGCPT2,0.0
LNLNCGCRNt,9.919275019
LNLNCGt,0.0
LPASE,0.0
LPS2,9.98832086
LPS3e,
LPS4e,
LRAT1,
LRAT2,
LSTO1r,9.904042096
LTC4CP,
LTC4Sr,11.7867529
LTDCL,
LYSt4,9.703044133
LYStm,0.0
LYStn,
M4BTAer,9.86676559
M4CET3er,9.933488119
MACACI,0.0
MALTe,
MALTly,12.0474572
MALtm,0.0
MALTt1r,11.33131657
MANt1r,11.93074373
MANtly,
MCDp,9.599173608
MCLACCYSR,
MCLORi,14.08616184
MCPST,10.80380314
MDRPD,
ME1m,10.87759357
ME2m,10.87759357
MECOALm,10.84380336
MECOAS1m,11.35727279
MELATN23DOX,
MELATNOX,0.0
MEOHt2,
MESCOALm,
METAT,13.68224767
METS,11.31692632
METtec,0.0
MGACONm,
MGSA2,
MHISOR,0.0
MI1345PP,12.76005585
MI134P4P,
MI134PP,10.32573121
MI145PK,11.25277675
MI145PP,12.76005585
MI14PP,10.32573121
MI1P_Dtn,
MMCDm,9.599173608
MMEm,
MMMm,
MMSAD1m,10.95345266
MMTSADm,
MOGAT,
MTHFCm,10.31939395
MTHFD2m,10.31939395
N3Tg,10.15929012
NABTNO,11.6549622
NACASPAH,
NACHEX10ly,11.25117013
NACHEX13ly,11.25117013
NACHEX16ly,11.25117013
NACHEX17ly,11.25117013
NACHEX1ly,11.25117013
NACHEX20ly,11.25117013
NACHEX25ly,11.25117013
NACHEX26ly,11.25117013
NACHEX27ly,11.25117013
NACHEX3ly,10.61622316
NACHEX5ly,10.61622316
NACHEX6ly,11.25117013
NACHEX7ly,11.25117013
NACHEX8ly,11.25117013
NACHEX9ly,11.25117013
NACHEXA10ly,10.61622316
NACHEXA11ly,10.61622316
NACHEXA12ly,10.61622316
NACHEXA13ly,10.61622316
NACHEXA15ly,10.61622316
NACHEXA18ly,10.61622316
NACHEXA20ly,10.61622316
NACHEXA21ly,10.61622316
NACHEXA2ly,10.61622316
NACHEXA3ly,10.61622316
NACHEXA4ly,10.61622316
NACHEXA5ly,10.61622316
NACHEXA7ly,10.61622316
NACHEXA9ly,10.61622316
NACt,
NADHtru,
NADNe,0.0
NADPHtru,
NADPtru,
NADPtxu,
NADtn,
NADtru,
NAGAlby,
NAIt,
NAt3_1g,11.10768542
NBAHH_ir,12.07052187
NCCt,
NDP7g,11.62416613
NDP8,0.0
NDP8ex,11.12980271
PI3P4Kn,
NDPK3m,11.01035844
NDPK4m,11.01035844
NDPK4n,10.14741723
NDPK6m,11.01035844
NDPK7m,11.01035844
NDPK7n,10.14741723
NDPK9n,10.14741723
NH4tn,
NH4tp,
NICRNS,
NICRNTtn,
NIFEDIPINEte,
NKCC2t,11.13466337
NOS2_2,0.0
NRPPHRSULT,
NRVNCCOAtx,
NS26T2g,
NS26Tg,
NTD12,9.982321556
NTD1m,0.0
NTD2l,10.27453407
NTD4e,9.982321556
NTD5m,0.0
NTD7e,9.982321556
NTD9e,9.982321556
NTD9l,10.27453407
O16G1e,
O16G2e,
O2Stm,
O2Stn,
O2ter,
O2tn,
OCBTm,
OCCOAtm,
OCCOAtx,
OIVD2m,10.35308919
OMEPRAZOLEte,
ORETNF,
ORNt4m,0.0
ORNt,10.80917179
OXAtp,
P45011B21m,
P45017A2r,0.0
P45017A3r,0.0
P45017A4r,0.0
P45019A1r,
P45021A1r,
P45027A11m,10.8292602
P45027A13m,10.8292602
P45027A14m,10.8292602
P45027A15m,10.8292602
P4502A6,
P4502C18,
P4502C8,
P4502C92,
P4502D6,
P4502E1,0.0
P4503A4,
P45046A1r,
P4504F122r,
P4504F123r,
P4504F81r,
P4507A1r,
P4507B11r,
P4507B12r,
P4508B11r,
P450LTB4r,
P5CRm,0.0
PA_HSter,
PAIL_HStn,
PAIL45P_HStn,
PAPStg,
PAPtg,
PCFLOPm,0.0
PCHOL_HSter,
PCHOLP_hs,10.52419457
PCHOLPg_hs,9.4733572
PCHOLPr_hs,9.4733572
PCREATtmdiffir,
PCRNtc,
PCRNtm,9.919275019
PDE1,10.91805267
PDE1g,
PI34P5K,12.11112788
PI34P5Kn,
PI3P4K,12.54765299
PDE4,10.15593947
PDE4g,
PDHm,10.39725944
PDXPP,
PEFLIP,11.75474758
PERILLYLte,
PEROXx,0.0
PETHCT,10.75012511
PGCD,9.916299135
PGDI,11.89506257
PGLer,12.26617884
PGLYCt,
PGPP_hs,
PGPPT,10.47061737
PHCHGSm,
PHEACGLNt,
PHEMEtm,
PHEt4,13.04673093
PHETA1m,12.19612684
PHYCBOXL,
PHYHx,10.57319961
PHYQt,
PHYTt,
PI345P5P,12.76005585
PI34P3Pn,
PI34P4Pn,
PI45P3K,10.90017813
PI45P5P,10.89608412
PI4P3Kn,
PI4PLC,12.35361343
PI4PLCn,0.0
PI5P4Kn,
